OrderID,CustomerID,OrderDate,Amount,Status,ShippingMethod
1,4828,2020-05-09,65.48,Shipped,Express
2,6988,2020-07-05,233.32,Delivered,Express
3,3504,2023-12-15,497.41,Shipped,Express
4,7825,2021-10-31,475.09,Pending,Standard
5,2076,2020-08-22,59.46,Cancelled,Standard
6,1313,2020-10-04,295.03,Delivered,Overnight
7,2285,2023-01-30,171.51,Pending,Express
8,8576,2022-02-25,369.67,Pending,Overnight
9,2809,2022-04-14,373.18,Cancelled,Standard
10,8996,2023-06-09,20.04,Delivered,Overnight
11,9289,2020-09-30,425.99,Pending,Express
12,6522,2020-12-30,127.32,Cancelled,Express
13,6356,2021-04-12,483.64,Shipped,Standard
14,3720,2021-10-12,454.61,Pending,Express
15,4772,2022-04-05,111.52,Shipped,Overnight
16,2697,2023-07-21,325.44,Pending,Express
17,5797,2023-09-13,162.25,Cancelled,Standard
18,809,2022-05-10,69.43,Shipped,Express
19,3294,2020-07-02,439.52,Cancelled,Standard
20,9498,2022-07-06,106.8,Delivered,Express
21,3460,2023-05-02,222.06,Pending,Standard
22,2420,2020-09-28,463.61,Delivered,Standard
23,4225,2023-08-16,56.17,Delivered,Express
24,7572,2020-07-14,284.28,Shipped,Overnight
25,6364,2022-02-20,294.63,Pending,Standard
26,9389,2022-06-23,386.27,Delivered,Express
27,4568,2020-11-26,417.02,Pending,Overnight
28,3525,2021-09-11,223.59,Cancelled,Overnight
29,6752,2021-05-13,376.97,Shipped,Overnight
30,9718,2023-11-24,457.01,Delivered,Overnight
31,6238,2023-11-21,445.41,Cancelled,Standard
32,9792,2023-01-28,260.87,Cancelled,Standard
33,9237,2020-03-21,311.37,Shipped,Standard
34,5320,2022-05-10,342.95,Cancelled,Overnight
35,1868,2022-10-14,413.17,Cancelled,Standard
36,1376,2022-11-06,263.71,Delivered,Express
37,8131,2023-05-20,73.71,Cancelled,Overnight
38,5402,2020-05-05,204.94,Shipped,Express
39,8804,2020-05-09,365.7,Cancelled,Overnight
40,6993,2020-08-01,319.42,Pending,Express
41,3317,2023-02-26,381.68,Cancelled,Express
42,1599,2022-08-27,259.98,Cancelled,Express
43,4950,2022-12-16,103.71,Cancelled,Standard
44,6573,2021-08-20,75.3,Cancelled,Standard
45,639,2023-07-21,251.01,Delivered,Overnight
46,4167,2021-09-06,118.75,Delivered,Standard
47,646,2023-09-24,491.49,Pending,Standard
48,5885,2023-03-12,115.4,Delivered,Standard
49,6669,2021-02-26,292.06,Shipped,Overnight
50,90,2020-11-29,20.85,Delivered,Overnight
51,9016,2021-11-18,141.75,Delivered,Standard
52,551,2023-03-02,144.39,Delivered,Overnight
53,8252,2020-09-20,374.23,Shipped,Overnight
54,5225,2020-05-26,257.9,Pending,Overnight
55,5582,2023-12-30,25.8,Cancelled,Standard
56,4179,2020-01-12,202.0,Shipped,Standard
57,9436,2020-02-24,329.49,Shipped,Express
58,3480,2020-08-17,325.62,Delivered,Express
59,9138,2023-02-19,45.87,Delivered,Express
60,9833,2022-05-10,465.88,Pending,Overnight
61,6092,2023-06-10,138.56,Delivered,Express
62,2634,2020-06-10,447.93,Shipped,Express
63,6791,2022-03-13,122.44,Delivered,Overnight
64,3502,2020-06-27,292.57,Delivered,Overnight
65,890,2023-10-17,214.92,Pending,Standard
66,8766,2023-05-16,299.05,Shipped,Express
67,8705,2022-06-23,258.97,Shipped,Standard
68,7247,2021-07-05,20.98,Cancelled,Overnight
69,4161,2021-12-26,188.64,Cancelled,Express
70,4052,2023-12-26,25.38,Pending,Express
71,2231,2023-03-23,348.02,Shipped,Express
72,5186,2023-09-23,429.68,Shipped,Standard
73,7376,2020-10-19,204.66,Delivered,Express
74,6198,2021-03-11,271.9,Pending,Standard
75,2284,2021-01-30,51.6,Pending,Standard
76,4985,2020-06-14,204.89,Cancelled,Overnight
77,612,2022-09-20,86.65,Cancelled,Express
78,8630,2022-02-22,51.06,Delivered,Standard
79,9652,2022-08-14,102.58,Cancelled,Express
80,6838,2021-02-04,438.01,Pending,Express
81,7107,2020-04-24,491.46,Pending,Overnight
82,7276,2020-12-16,442.02,Cancelled,Standard
83,8716,2023-07-07,485.44,Delivered,Standard
84,3578,2022-03-28,370.79,Delivered,Overnight
85,6487,2022-05-25,96.66,Cancelled,Standard
86,2262,2023-06-03,290.32,Shipped,Standard
87,1024,2021-09-05,371.17,Shipped,Standard
88,9772,2020-05-10,266.46,Cancelled,Overnight
89,8514,2020-09-20,286.24,Delivered,Standard
90,7236,2022-04-13,301.37,Cancelled,Express
91,3758,2020-06-29,244.09,Cancelled,Overnight
92,8069,2020-12-14,159.48,Pending,Overnight
93,8642,2021-04-15,325.77,Delivered,Overnight
94,1285,2020-06-09,45.68,Delivered,Standard
95,1661,2020-04-23,102.05,Delivered,Overnight
96,5354,2020-01-18,464.13,Cancelled,Standard
97,904,2023-02-01,254.63,Shipped,Express
98,9370,2023-04-24,414.41,Cancelled,Overnight
99,8522,2023-09-27,368.74,Delivered,Overnight
100,8829,2020-05-22,173.94,Pending,Overnight
101,6011,2021-10-16,405.75,Delivered,Express
102,413,2022-08-21,63.83,Delivered,Standard
103,6640,2021-03-28,439.99,Delivered,Overnight
104,3834,2021-03-26,346.67,Cancelled,Express
105,2416,2020-03-02,464.99,Shipped,Standard
106,2587,2021-08-18,449.84,Pending,Overnight
107,5572,2022-07-28,202.53,Pending,Standard
108,9757,2023-07-23,431.28,Shipped,Overnight
109,8673,2023-08-11,290.25,Shipped,Express
110,6558,2023-02-26,95.41,Shipped,Standard
111,6281,2020-12-29,418.18,Pending,Express
112,2883,2022-12-26,455.8,Pending,Overnight
113,2520,2020-02-16,60.58,Delivered,Express
114,4401,2022-08-26,466.67,Cancelled,Standard
115,8847,2023-10-29,308.61,Cancelled,Standard
116,181,2022-04-01,32.43,Cancelled,Overnight
117,4126,2021-10-21,280.06,Pending,Standard
118,3020,2022-01-31,402.44,Shipped,Overnight
119,765,2023-03-06,275.93,Pending,Express
120,4136,2023-01-23,359.48,Pending,Express
121,5039,2020-08-25,442.2,Pending,Express
122,6800,2022-03-06,437.49,Pending,Overnight
123,3391,2020-02-04,105.86,Cancelled,Express
124,9975,2023-08-12,225.02,Delivered,Overnight
125,1065,2022-05-19,73.36,Shipped,Express
126,2457,2021-05-06,305.65,Pending,Express
127,5682,2020-09-14,478.27,Shipped,Standard
128,1347,2021-01-21,107.29,Shipped,Express
129,6998,2020-09-26,213.74,Pending,Express
130,9375,2022-05-16,477.93,Delivered,Overnight
131,4133,2023-09-09,380.06,Delivered,Standard
132,2454,2022-12-06,54.16,Cancelled,Overnight
133,539,2021-08-28,225.64,Cancelled,Express
134,2304,2021-11-24,494.19,Delivered,Express
135,6422,2022-08-11,237.56,Pending,Standard
136,249,2021-02-14,322.11,Cancelled,Express
137,9233,2022-04-24,356.47,Pending,Overnight
138,1392,2020-05-04,338.69,Pending,Overnight
139,2173,2020-07-30,268.98,Pending,Standard
140,1336,2023-10-24,83.74,Pending,Express
141,2260,2022-08-02,360.04,Shipped,Standard
142,6616,2022-07-08,468.0,Shipped,Express
143,5535,2023-07-13,472.01,Pending,Express
144,8692,2020-05-14,304.83,Delivered,Express
145,811,2022-02-23,256.25,Shipped,Overnight
146,4985,2022-02-28,180.3,Pending,Standard
147,7349,2020-11-10,69.71,Pending,Overnight
148,7557,2020-10-26,443.9,Cancelled,Overnight
149,3714,2023-08-14,85.79,Cancelled,Overnight
150,3705,2020-10-05,158.21,Cancelled,Standard
151,1211,2021-01-08,375.39,Shipped,Overnight
152,3746,2021-12-26,358.29,Shipped,Overnight
153,7792,2020-03-02,346.89,Cancelled,Express
154,1492,2022-05-28,376.02,Cancelled,Express
155,7302,2022-12-13,280.15,Pending,Overnight
156,6461,2020-12-03,94.38,Delivered,Standard
157,3049,2023-10-30,499.21,Cancelled,Overnight
158,4920,2022-05-26,448.23,Pending,Standard
159,2935,2021-04-18,226.95,Shipped,Express
160,6111,2020-04-21,274.56,Cancelled,Standard
161,1818,2022-09-16,208.9,Shipped,Overnight
162,6614,2023-07-16,326.23,Pending,Express
163,4320,2020-11-19,370.95,Cancelled,Standard
164,1276,2021-09-10,131.15,Shipped,Overnight
165,7232,2022-03-05,227.74,Pending,Overnight
166,2878,2022-06-01,327.31,Cancelled,Standard
167,4015,2022-01-17,494.25,Delivered,Standard
168,4088,2023-01-13,175.94,Delivered,Standard
169,1148,2021-01-06,377.6,Cancelled,Overnight
170,238,2023-01-03,186.4,Cancelled,Express
171,2123,2021-08-18,64.32,Pending,Express
172,7610,2021-05-22,389.67,Shipped,Overnight
173,4596,2020-08-15,331.67,Shipped,Standard
174,9738,2021-08-17,266.88,Cancelled,Overnight
175,3984,2023-11-18,344.02,Delivered,Overnight
176,8135,2020-01-15,442.06,Shipped,Overnight
177,5607,2022-10-01,383.13,Cancelled,Overnight
178,9179,2022-03-23,431.75,Shipped,Express
179,1624,2020-06-29,159.21,Pending,Standard
180,7227,2020-12-03,404.23,Cancelled,Overnight
181,723,2023-07-10,192.8,Delivered,Overnight
182,1096,2022-07-14,29.91,Delivered,Standard
183,3828,2020-03-18,40.73,Pending,Standard
184,4286,2020-08-16,370.57,Pending,Overnight
185,996,2022-11-19,150.52,Delivered,Overnight
186,5682,2021-01-08,167.64,Delivered,Standard
187,4662,2020-06-03,318.84,Pending,Standard
188,993,2022-03-27,375.92,Delivered,Express
189,2784,2023-04-23,288.26,Delivered,Overnight
190,8348,2021-03-23,359.06,Shipped,Standard
191,5683,2022-05-18,471.71,Delivered,Standard
192,9969,2021-03-22,430.0,Pending,Express
193,5962,2021-03-07,135.59,Shipped,Express
194,4769,2022-02-05,455.26,Shipped,Standard
195,5761,2023-04-07,162.69,Delivered,Overnight
196,5205,2023-01-09,337.08,Shipped,Overnight
197,7553,2022-03-08,439.86,Cancelled,Overnight
198,8247,2023-05-18,319.25,Pending,Express
199,85,2023-07-06,406.97,Pending,Standard
200,5977,2022-09-14,465.13,Delivered,Standard
201,8148,2021-07-02,484.13,Delivered,Express
202,7085,2023-08-02,217.1,Pending,Overnight
203,2780,2022-12-13,496.53,Pending,Standard
204,6056,2021-04-13,150.41,Delivered,Overnight
205,2670,2021-01-03,241.85,Pending,Standard
206,1009,2022-05-03,385.14,Delivered,Express
207,2365,2023-01-28,485.67,Shipped,Express
208,3687,2022-09-10,45.41,Cancelled,Overnight
209,6769,2021-12-25,473.91,Cancelled,Express
210,2200,2022-09-08,499.36,Cancelled,Standard
211,9552,2021-08-20,456.6,Shipped,Express
212,910,2023-04-30,72.02,Delivered,Overnight
213,3440,2021-02-17,423.54,Delivered,Express
214,5883,2020-04-02,327.09,Delivered,Standard
215,2914,2023-06-30,24.57,Pending,Express
216,4696,2022-08-22,492.5,Cancelled,Standard
217,1007,2021-07-14,92.25,Delivered,Overnight
218,7115,2022-11-28,210.47,Delivered,Standard
219,1144,2021-06-29,34.53,Shipped,Express
220,7553,2023-10-13,168.57,Delivered,Express
221,1225,2022-02-16,292.8,Cancelled,Overnight
222,4496,2022-10-29,466.81,Delivered,Express
223,8260,2020-07-06,495.37,Shipped,Overnight
224,9207,2021-08-30,223.21,Cancelled,Overnight
225,182,2021-10-06,225.53,Pending,Standard
226,6333,2021-11-05,96.96,Delivered,Express
227,4947,2020-05-18,259.21,Delivered,Standard
228,7451,2020-10-24,471.24,Delivered,Overnight
229,2946,2023-01-08,99.39,Delivered,Overnight
230,8847,2023-07-03,147.91,Shipped,Overnight
231,3687,2020-06-27,447.83,Shipped,Standard
232,2289,2023-07-04,320.69,Cancelled,Standard
233,2832,2020-08-05,178.64,Shipped,Overnight
234,8914,2020-09-23,410.12,Delivered,Express
235,3249,2023-09-02,72.3,Cancelled,Express
236,9393,2021-08-13,432.01,Pending,Express
237,8502,2021-11-09,268.64,Cancelled,Overnight
238,1026,2021-09-07,383.33,Delivered,Overnight
239,4413,2022-04-29,268.83,Delivered,Express
240,5903,2023-07-31,138.21,Pending,Standard
241,9725,2023-09-30,327.61,Delivered,Express
242,3644,2021-12-27,94.3,Cancelled,Standard
243,8560,2020-03-15,130.34,Shipped,Express
244,4651,2022-01-06,283.68,Shipped,Overnight
245,1250,2020-12-01,207.19,Cancelled,Express
246,2984,2022-03-14,377.7,Cancelled,Standard
247,4576,2022-05-04,300.11,Cancelled,Standard
248,7448,2020-12-28,203.04,Pending,Express
249,9132,2020-07-08,176.83,Shipped,Overnight
250,4110,2023-02-03,458.36,Pending,Overnight
251,4024,2020-03-10,39.24,Pending,Standard
252,7970,2021-06-05,351.69,Delivered,Overnight
253,590,2023-05-22,208.11,Shipped,Express
254,1783,2022-09-09,201.13,Pending,Standard
255,4569,2021-05-31,332.9,Cancelled,Standard
256,9400,2020-01-28,428.22,Cancelled,Express
257,4413,2023-08-31,367.72,Cancelled,Express
258,9039,2022-06-23,341.65,Delivered,Express
259,4681,2023-06-13,258.18,Pending,Overnight
260,8991,2020-04-01,245.21,Shipped,Overnight
261,471,2020-12-28,241.14,Shipped,Overnight
262,4828,2020-02-07,89.81,Delivered,Express
263,5068,2021-10-25,288.56,Cancelled,Overnight
264,2995,2021-12-04,171.42,Cancelled,Overnight
265,3130,2021-05-05,316.75,Pending,Express
266,6168,2023-02-07,276.48,Shipped,Express
267,1314,2020-05-23,471.16,Shipped,Express
268,6547,2022-04-13,228.77,Cancelled,Standard
269,9240,2023-05-05,338.91,Cancelled,Express
270,9280,2022-12-05,304.55,Shipped,Express
271,7935,2023-03-18,348.51,Shipped,Overnight
272,5359,2020-05-17,148.15,Shipped,Standard
273,283,2021-05-04,143.48,Pending,Overnight
274,7610,2021-02-05,288.65,Pending,Standard
275,1399,2021-08-24,427.55,Cancelled,Express
276,2734,2021-12-24,365.6,Delivered,Standard
277,4068,2021-11-11,254.69,Cancelled,Express
278,2358,2022-07-20,142.45,Shipped,Standard
279,3239,2021-09-16,384.49,Delivered,Overnight
280,9965,2020-12-06,464.6,Pending,Standard
281,7990,2020-10-28,122.25,Cancelled,Standard
282,7211,2020-04-27,403.56,Pending,Express
283,788,2020-05-30,102.77,Delivered,Overnight
284,8235,2023-04-05,452.38,Pending,Overnight
285,5785,2021-08-29,328.18,Shipped,Express
286,4644,2022-02-10,106.88,Shipped,Express
287,4322,2023-12-19,37.4,Pending,Overnight
288,4729,2022-09-23,353.42,Cancelled,Standard
289,5641,2021-03-12,310.93,Shipped,Overnight
290,3411,2021-09-23,313.43,Delivered,Overnight
291,1359,2023-01-02,251.49,Cancelled,Overnight
